fflags         [0x001] = 0x0000000000000000
frm            [0x002] = 0x0000000000000000
fcsr           [0x003] = 0x0000000000000000
vstart         [0x008] = 0x0000000000000000
vxsat          [0x009] = 0x0000000000000000
vxrm           [0x00a] = 0x0000000000000000
vcsr           [0x00f] = 0x0000000000000000
seed           [0x015] = 0x000000008000dd97
sstatus        [0x100] = 0x0000000200000000
sie            [0x104] = 0x0000000000000000
stvec          [0x105] = 0x0000000000000000
scounteren     [0x106] = 0x0000000000000000
senvcfg        [0x10a] = 0x0000000000000000
sscratch       [0x140] = 0x0000000000000000
sepc           [0x141] = 0x0000000000000000
scause         [0x142] = 0x0000000000000000
stval          [0x143] = 0x0000000000000000
sip            [0x144] = 0x0000000000000000
satp           [0x180] = 0x0000000000000000
vsstatus       [0x200] = 0x0000000200000000
vsie           [0x204] = 0x0000000000000000
vstvec         [0x205] = 0x0000000000000000
vsscratch      [0x240] = 0x0000000000000000
vsepc          [0x241] = 0x0000000000000000
vscause        [0x242] = 0x0000000000000000
vstval         [0x243] = 0x0000000000000000
vsip           [0x244] = 0x0000000000000000
vsatp          [0x280] = 0x0000000000000000
mstatus        [0x300] = 0x0000000a00000000
misa           [0x301] = 0x8000000000141129
medeleg        [0x302] = 0x0000000000000000
mideleg        [0x303] = 0x0000000000000000
mie            [0x304] = 0x0000000000000000
mtvec          [0x305] = 0x0000000000000000
mcounteren     [0x306] = 0x0000000000000000
menvcfg        [0x30a] = 0x0000000000000000
mcountinhibit  [0x320] = 0x0000000000000000
mhpmevent3     [0x323] = 0x0000000000000000
mhpmevent4     [0x324] = 0x0000000000000000
mhpmevent5     [0x325] = 0x0000000000000000
mhpmevent6     [0x326] = 0x0000000000000000
mhpmevent7     [0x327] = 0x0000000000000000
mhpmevent8     [0x328] = 0x0000000000000000
mhpmevent9     [0x329] = 0x0000000000000000
mhpmevent10    [0x32a] = 0x0000000000000000
mhpmevent11    [0x32b] = 0x0000000000000000
mhpmevent12    [0x32c] = 0x0000000000000000
mhpmevent13    [0x32d] = 0x0000000000000000
mhpmevent14    [0x32e] = 0x0000000000000000
mhpmevent15    [0x32f] = 0x0000000000000000
mhpmevent16    [0x330] = 0x0000000000000000
mhpmevent17    [0x331] = 0x0000000000000000
mhpmevent18    [0x332] = 0x0000000000000000
mhpmevent19    [0x333] = 0x0000000000000000
mhpmevent20    [0x334] = 0x0000000000000000
mhpmevent21    [0x335] = 0x0000000000000000
mhpmevent22    [0x336] = 0x0000000000000000
mhpmevent23    [0x337] = 0x0000000000000000
mhpmevent24    [0x338] = 0x0000000000000000
mhpmevent25    [0x339] = 0x0000000000000000
mhpmevent26    [0x33a] = 0x0000000000000000
mhpmevent27    [0x33b] = 0x0000000000000000
mhpmevent28    [0x33c] = 0x0000000000000000
mhpmevent29    [0x33d] = 0x0000000000000000
mhpmevent30    [0x33e] = 0x0000000000000000
mhpmevent31    [0x33f] = 0x0000000000000000
mscratch       [0x340] = 0x0000000000000000
mepc           [0x341] = 0x0000000000000000
mcause         [0x342] = 0x0000000000000000
mtval          [0x343] = 0x0000000000000000
mip            [0x344] = 0x0000000000000000
mtinst         [0x34a] = 0x0000000000000000
mtval2         [0x34b] = 0x0000000000000000
pmpcfg0        [0x3a0] = 0x000000000000001f
pmpcfg2        [0x3a2] = 0x0000000000000000
pmpcfg4        [0x3a4] = 0x0000000000000000
pmpcfg6        [0x3a6] = 0x0000000000000000
pmpcfg8        [0x3a8] = 0x0000000000000000
pmpcfg10       [0x3aa] = 0x0000000000000000
pmpcfg12       [0x3ac] = 0x0000000000000000
pmpcfg14       [0x3ae] = 0x0000000000000000
pmpaddr0       [0x3b0] = 0x003fffffffffffff
pmpaddr1       [0x3b1] = 0x0000000000000000
pmpaddr2       [0x3b2] = 0x0000000000000000
pmpaddr3       [0x3b3] = 0x0000000000000000
pmpaddr4       [0x3b4] = 0x0000000000000000
pmpaddr5       [0x3b5] = 0x0000000000000000
pmpaddr6       [0x3b6] = 0x0000000000000000
pmpaddr7       [0x3b7] = 0x0000000000000000
pmpaddr8       [0x3b8] = 0x0000000000000000
pmpaddr9       [0x3b9] = 0x0000000000000000
pmpaddr10      [0x3ba] = 0x0000000000000000
pmpaddr11      [0x3bb] = 0x0000000000000000
pmpaddr12      [0x3bc] = 0x0000000000000000
